Prec [mm],ET [mm/h],T [C],Q [m3/s],LAT [C]
0,0.080416667,4.539,0.2785,11.63065417
0,0.017125,4.559,0.27325,11.63065417
0,0.017125,4.753,0.2675,11.63065417
0,0.017125,6.315,0.266,11.63065417
0,0.017125,8.09,0.2675,11.63065417
0,0.017125,9.1,0.272,11.63065417
0,0.017125,10.01,0.272,11.63065417
0,0.017125,11.4,0.272,11.63065417
0,0.080416667,11.32,0.28475,11.63065417
0,0.080416667,11.77,0.292,11.63065417
0,0.080416667,12.32,0.29625,11.63065417
0,0.080416667,12.1,0.303,11.63065417
0,0.080416667,12.41,0.306,11.63065417
0,0.080416667,12.01,0.3075,11.63065417
0,0.080416667,12.4,0.315,11.63065417
0,0.080416667,12.57,0.339,11.63065417
0,0.080416667,12.7,0.35725,11.63065417
0,0.080416667,12.33,0.392,11.63065417
0,0.080416667,12.61,0.4455,11.63065417
0,0.080416667,12.43,0.47625,11.63065417
0,0.080416667,12.62,0.485,11.63065417
0,0.017125,12.98,0.495,11.63065417
0,0.017125,12,0.5355,11.63065417
0,0.017125,12.8,0.601,11.63065417
0,0.017125,12.68,0.72525,11.63065417
0,0.063208333,12.67,1.03325,11.63065417
0,0.063208333,12.29,1.09625,11.63065417
0,0.063208333,12.04,1.092,11.63065417
0,0.063208333,12.39,1.484,11.63065417
0,0.063208333,12.56,1.92175,11.63065417
0,0.063208333,12.99,1.892,11.63065417
0,0.063208333,13.7,1.691,11.63065417
0,0.017125,14.38,1.4825,11.63065417
0,0.017125,15.57,1.3345,11.63065417
0,0.017125,14.94,1.24175,11.63065417
0,0.017125,14.92,1.19175,11.63065417
0,0.017125,15.92,1.138,11.63065417
0,0.017125,12.65,1.03725,11.63065417
0,0.017125,11.98,0.975,11.63065417
0,0.017125,12.58,1.07575,11.63065417
0,0.017125,11.55,1.159,11.63065417
0,0.017125,11.27,1.187,11.63065417
0,0.017125,11.29,1.19875,11.63065417
0,0.017125,11.23,1.1755,11.63065417
0,0.017125,11.39,1.12875,11.63065417
0,0.063208333,11.94,1.087,11.63065417
0,0.063208333,7.41,1.09875,11.63065417
0,0.063208333,12.03,1.2785,11.63065417
0,0.063208333,11.97,1.426,11.63065417
